,u.user_id,u.username,p.stage,p.game_id,p.team1,p.team2,p.goals1,p.goals2,p.winner
0,1,sebvargas,rd16,49,NED,USA,0,1,NED
1,1,sebvargas,quarters,58,JPN,BRA,0,2,JPN
2,1,sebvargas,quarters,60,MAR,POR,1,2,MAR
3,4,CDEVIS,rd16,56,POR,SUI,1,2,POR
4,4,CDEVIS,quarters,58,JPN,BRA,1,2,JPN
5,6,Mauricio Duque,rd16,53,JPN,CRO,0,1,JPN
6,6,Mauricio Duque,rd16,55,MAR,ESP,1,3,MAR
7,6,Mauricio Duque,rd16,56,POR,SUI,1,2,POR
8,6,Mauricio Duque,quarters,57,NED,ARG,0,2,NED
9,6,Mauricio Duque,quarters,58,CRO,BRA,0,2,CRO
10,6,Mauricio Duque,quarters,59,ENG,FRA,1,2,ENG
11,7,Marieladecastro,rd16,49,NED,USA,1,2,NED
12,7,Marieladecastro,rd16,55,MAR,ESP,0,3,MAR
13,7,Marieladecastro,quarters,57,USA,ARG,1,2,USA
14,7,Marieladecastro,quarters,58,JPN,BRA,1,2,JPN
15,7,Marieladecastro,quarters,59,ENG,FRA,0,2,ENG
16,7,Marieladecastro,semis,61,ARG,BRA,1,3,ARG
17,7,Marieladecastro,semis,62,FRA,ESP,0,2,FRA
18,7,Marieladecastro,third,63,ARG,FRA,1,2,ARG
19,11,meme,quarters,57,NED,ARG,0,2,NED
20,11,meme,quarters,58,CRO,BRA,1,2,CRO
21,16,yoshi,quarters,58,JPN,BRA,0,1,JPN
22,16,yoshi,quarters,59,ENG,FRA,1,2,ENG
23,16,yoshi,third,63,ARG,ESP,0,1,ARG
24,17,nicolasferrin,rd16,55,MAR,ESP,1,2,MAR
25,17,nicolasferrin,quarters,57,NED,ARG,1,2,NED
26,17,nicolasferrin,quarters,58,CRO,BRA,0,2,CRO
27,17,nicolasferrin,quarters,59,ENG,FRA,1,2,ENG
28,19,cobannon,rd16,55,MAR,ESP,1,2,MAR
29,19,cobannon,quarters,57,USA,ARG,1,2,USA
30,19,cobannon,quarters,58,JPN,1G,1,2,JPN
31,19,cobannon,quarters,59,ENG,FRA,1,3,ENG
32,19,cobannon,third,63,1G,POR,1,2,1G
33,26,EduardoDMoreno,rd16,49,NED,USA,0,1,NED
